entity,year,nombre
CAQ,2015.0,87.69230111768573
CAQ,2016.0,82.61106523534269
CAQ,2017.0,80.69880257906048
CAQ,2018.0,140.0902579056506
CAQ,2019.0,93.18121442125238
CAQ,2020.0,88.61735863474274
CAQ,2021.0,83.60452760477145
CAQ,2022.0,138.53743104806935
PCQ,2015.0,82.59398496240601
PCQ,2016.0,79.82191780821918
PCQ,2017.0,83.8252427184466
PCQ,2018.0,124.93930434782608
PCQ,2019.0,92.74011363636363
PCQ,2020.0,36.90156048675733
PCQ,2021.0,43.05624127338732
PCQ,2022.0,52.25166980371067
PLQ,2015.0,81.68514366101117
PLQ,2016.0,85.19544213923467
PLQ,2017.0,86.98956784693205
PLQ,2018.0,124.91796716003701
PLQ,2019.0,80.6977547380156
PLQ,2020.0,78.85856741573035
PLQ,2021.0,80.2427578530794
PLQ,2022.0,128.9485151856018
PQ,2015.0,58.49826364556567
PQ,2016.0,54.58544131028207
PQ,2017.0,57.72461758107281
PQ,2018.0,95.61876176787639
PQ,2019.0,63.583970650486805
PQ,2020.0,67.08397580377859
PQ,2021.0,70.1883935294938
PQ,2022.0,107.23067899159665
QS,2015.0,71.7963953147877
QS,2016.0,72.6977694025684
QS,2017.0,71.45973551637279
QS,2018.0,97.13511636731596
QS,2019.0,71.52748887652947
QS,2020.0,67.92817391304347
QS,2021.0,70.8480862923204
QS,2022.0,121.9543252950231
