dernierDon,fidele,unique,volatile,p_fidele,p_unique
PQ,1227,3282,29,3.72653829800158,9.96780659661059
PLQ,995,2882,16,4.02068937649008,11.6458560633612
QS,1254,3090,12,8.41159109203112,20.7271263751006
CAQ,3163,8127,28,13.5692835692836,34.8648648648648
PCQ,2238,10425,63,16.759023513554,78.0664969297588
