dernierDon,nouveau,ancien,p_nouveau,p_ancien
PCQ,12663,691,94.82552044331287,5.174479556687135
CAQ,11290,12020,48.43414843414843,51.56585156585157
QS,4344,10564,29.13871746713174,70.86128253286826
PLQ,3877,20870,15.666545439851296,84.33345456014871
PQ,4509,28417,13.69434489461216,86.30565510538784
